id,label,community
BTG1,BTG1,8
BTG2,BTG2,8
BTG3,BTG3,8
BTN2A1,BTN2A1,8
BTN3A1,BTN3A1,3
BTN3A2,BTN3A2,7
BTN3A3,BTN3A3,7
BTNL9,BTNL9,5
BTRC,BTRC,4
BUB1,BUB1,8
BUB1B,BUB1B,8
BUB3,BUB3,4
BUD13,BUD13,4
BUD23,BUD23,6
BUD31,BUD31,6
BX255925.3,BX255925.3,2
BYSL,BYSL,8
BZW1,BZW1,10
BZW2,BZW2,11
C10orf88,C10orf88,4
C11orf1,C11orf1,6
C11orf24,C11orf24,10
C11orf49,C11orf49,2
C11orf54,C11orf54,3
C11orf58,C11orf58,0
C11orf68,C11orf68,3
C11orf71,C11orf71,3
C11orf80,C11orf80,3
C11orf95,C11orf95,3
C11orf96,C11orf96,10
C12orf4,C12orf4,8
C12orf57,C12orf57,0
C12orf65,C12orf65,7
C12orf75,C12orf75,7
C14orf119,C14orf119,4
C14orf132,C14orf132,4
C15orf39,C15orf39,10
C16orf70,C16orf70,4
C16orf91,C16orf91,4
C17orf58,C17orf58,7
C17orf80,C17orf80,8
C18orf21,C18orf21,10
C18orf25,C18orf25,7
C19orf12,C19orf12,10
C19orf25,C19orf25,0
C19orf47,C19orf47,2
C19orf53,C19orf53,6
C19orf54,C19orf54,2
C19orf57,C19orf57,7
C1D,C1D,2
C1GALT1,C1GALT1,7
C1GALT1C1,C1GALT1C1,7
C1QA,C1QA,0
C1QB,C1QB,0
C1QBP,C1QBP,8
C1QC,C1QC,0
C1QL1,C1QL1,6
C1QL4,C1QL4,7
C1QTNF1,C1QTNF1,10
C1QTNF4,C1QTNF4,10
C1QTNF6,C1QTNF6,10
C1R,C1R,0
C1RL,C1RL,0
C1S,C1S,0
C1orf109,C1orf109,9
C1orf115,C1orf115,4
C1orf116,C1orf116,3
C1orf122,C1orf122,9
C1orf159,C1orf159,2
C1orf162,C1orf162,0
C1orf174,C1orf174,10
C1orf194,C1orf194,1
C1orf198,C1orf198,6
C1orf21,C1orf21,8
C1orf210,C1orf210,9
C1orf216,C1orf216,7
C1orf226,C1orf226,7
C1orf35,C1orf35,6
C1orf43,C1orf43,8
C1orf52,C1orf52,10
C1orf53,C1orf53,6
C1orf56,C1orf56,3
C2,C2,11
C20orf204,C20orf204,3
C20orf27,C20orf27,6
C20orf85,C20orf85,1
C20orf96,C20orf96,2
C21orf91,C21orf91,8
C2CD2,C2CD2,4
C2CD3,C2CD3,4
C2CD4B,C2CD4B,9
C2CD5,C2CD5,8
C2orf15,C2orf15,8
C2orf42,C2orf42,4
C2orf49,C2orf49,8
C2orf68,C2orf68,2
C2orf69,C2orf69,10
C2orf76,C2orf76,6
C2orf88,C2orf88,0
C3,C3,8
C3AR1,C3AR1,0
C3orf38,C3orf38,8
C4A,C4A,10
C4B,C4B,3
C4orf3,C4orf3,7
C4orf46,C4orf46,2
C4orf48,C4orf48,8
C5AR1,C5AR1,10
C5orf15,C5orf15,4
C5orf22,C5orf22,2
C5orf24,C5orf24,4
C5orf49,C5orf49,1
C5orf51,C5orf51,8
C6orf120,C6orf120,8
C6orf132,C6orf132,0
C6orf136,C6orf136,8
C6orf226,C6orf226,3
C6orf47,C6orf47,8
C6orf52,C6orf52,6
C6orf62,C6orf62,3
C6orf89,C6orf89,8
C7,C7,10
C7orf26,C7orf26,0
C7orf50,C7orf50,2
C8orf33,C8orf33,3
C8orf82,C8orf82,3
C9orf116,C9orf116,1
C9orf16,C9orf16,10
C9orf24,C9orf24,1
C9orf40,C9orf40,8
C9orf64,C9orf64,7
C9orf78,C9orf78,4
CA11,CA11,9
CA12,CA12,11
CA2,CA2,0
CA9,CA9,9
CAAP1,CAAP1,4
CAB39,CAB39,0
CABIN1,CABIN1,2
CABLES1,CABLES1,3
CABLES2,CABLES2,4
CACFD1,CACFD1,2
CACHD1,CACHD1,4
CACNB3,CACNB3,2
CACNG4,CACNG4,7
CACUL1,CACUL1,0
CACYBP,CACYBP,0
CAD,CAD,8
CADM1,CADM1,4
CADM4,CADM4,4
CALB2,CALB2,0
CALCOCO1,CALCOCO1,2
CALCOCO2,CALCOCO2,4
CALD1,CALD1,10
CALHM2,CALHM2,7
CALM1,CALM1,4
CALM2,CALM2,2
CALM3,CALM3,10
CALR,CALR,8
CALU,CALU,10
CAMK1D,CAMK1D,8
CAMK2G,CAMK2G,7
CAMK2N1,CAMK2N1,10
CAMKK2,CAMKK2,7
CAMLG,CAMLG,4
CAMSAP1,CAMSAP1,4
CAMSAP2,CAMSAP2,4
CAMSAP3,CAMSAP3,8
CAMTA1,CAMTA1,2
