node_id,gene_name,community_id,degree,clustering
8463,TNFAIP2,15,70.000000,0.495238
8464,TNFAIP3,12,93.000000,0.601683
8465,TNFAIP6,1,341.000000,0.430516
8466,TNFAIP8,2,166.000000,0.761665
8467,TNFAIP8L2,3,192.000000,0.475240
8468,TNFRSF10A,5,671.000000,0.581556
8469,TNFRSF10B,5,404.000000,0.640628
8470,TNFRSF12A,4,97.000000,0.541452
8471,TNFRSF14,3,837.000000,0.541373
8472,TNFRSF18,10,269.000000,0.414165
8473,TNFRSF19,1,194.000000,0.355163
8474,TNFRSF1A,4,159.000000,0.289467
8475,TNFRSF1B,12,68.000000,0.302897
8476,TNFRSF21,7,39.000000,0.198381
8477,TNFSF10,15,201.000000,0.616219
8478,TNFSF12,3,797.000000,0.482661
8479,TNFSF13,15,935.000000,0.376271
8480,TNFSF13B,5,288.000000,0.356320
8481,TNIP1,2,404.000000,0.440631
8482,TNIP2,3,1074.000000,0.521719
8483,TNK1,15,993.000000,0.363681
8484,TNK2,3,945.000000,0.500621
8485,TNKS,6,1113.000000,0.509108
8486,TNKS1BP1,15,626.000000,0.447412
8487,TNKS2,5,778.000000,0.532183
8488,TNN,4,12.000000,0.333333
8489,TNNT1,10,204.000000,0.638849
8490,TNPO1,5,1122.000000,0.451671
8491,TNPO2,15,923.000000,0.376150
8492,TNPO3,5,851.000000,0.506662
8493,TNRC18,3,655.000000,0.485613
8494,TNRC6A,6,1035.000000,0.482283
8495,TNRC6C,6,746.000000,0.484031
8496,TNS1,4,348.000000,0.448640
8497,TNS2,2,421.000000,0.451487
8498,TNS3,10,393.000000,0.475450
8499,TNS4,6,156.000000,0.376923
8500,TNXB,4,194.000000,0.568346
8501,TOB1,11,31.000000,0.608602
8502,TOB2,2,30.000000,0.388506
8503,TOE1,15,320.000000,0.401450
8504,TOLLIP,3,1000.000000,0.378338
8505,TOM1,3,53.000000,0.417271
8506,TOM1L1,7,222.000000,0.475072
8507,TOM1L2,15,861.000000,0.418610
8508,TOMM20,10,316.000000,0.428129
8509,TOMM22,3,46.000000,0.287923
8510,TOMM34,5,485.000000,0.330630
8511,TOMM40,3,85.000000,0.571989
8512,TOMM40L,7,229.000000,0.400559
8513,TOMM7,4,455.000000,0.383086
8514,TOMM70,5,1029.000000,0.484839
8515,TOP1,5,977.000000,0.444494
8516,TOP1MT,3,281.000000,0.406304
8517,TOP2A,7,179.000000,0.453393
8518,TOP2B,6,1518.000000,0.413243
8519,TOP3A,15,780.000000,0.409753
8520,TOPBP1,5,932.000000,0.477008
8521,TOPORS,5,1161.000000,0.437879
8522,TOR1A,3,377.000000,0.298211
8523,TOR1AIP1,6,1250.000000,0.438008
8524,TOR1AIP2,5,283.000000,0.325539
8525,TOR1B,15,126.000000,0.420444
8526,TOR2A,3,704.000000,0.473062
8527,TOR3A,3,409.000000,0.323661
8528,TOX3,10,201.000000,0.641741
8529,TOX4,6,1198.000000,0.382572
8530,TP53,5,380.000000,0.364963
8531,TP53BP1,6,927.000000,0.482823
8532,TP53BP2,5,636.000000,0.484297
8533,TP53I11,15,476.000000,0.337196
8534,TP53I13,3,193.000000,0.577990
8535,TP53I3,3,145.000000,0.513123
8536,TP53INP1,10,303.000000,0.547746
8537,TP53INP2,6,40.000000,0.424359
8538,TP53RK,6,331.000000,0.410931
8539,TP63,4,409.000000,0.515605
8540,TPBG,3,240.000000,0.568026
8541,TPCN1,4,572.000000,0.357231
8542,TPD52,11,42.000000,0.347271
8543,TPD52L1,7,36.000000,0.409524
8544,TPD52L2,15,215.000000,0.436557
8545,TPGS2,7,147.000000,0.344516
8546,TPI1,5,493.000000,0.488324
8547,TPM1,4,223.000000,0.485153
8548,TPM2,4,316.000000,0.486980
8549,TPM3,7,328.000000,0.255370
8550,TPM4,4,133.000000,0.372067
8551,TPMT,6,391.000000,0.409496
8552,TPP1,6,600.000000,0.376077
8553,TPP2,6,913.000000,0.486744
8554,TPPP3,4,134.000000,0.671866
8555,TPR,6,1124.000000,0.429372
8556,TPRA1,3,974.000000,0.490450
8557,TPRG1,6,196.000000,0.449398
8558,TPRG1L,4,527.000000,0.380914
8559,TPRKB,5,379.000000,0.349081
8560,TPRN,3,545.000000,0.453832
8561,TPSAB1,3,132.000000,0.628383
8562,TPSB2,4,51.000000,0.461176
8563,TPST1,4,123.000000,0.337198
8564,TPST2,1,178.000000,0.514442
8565,TPT1,3,270.000000,0.494947
8566,TPX2,5,519.000000,0.539603
8567,TRA2A,15,784.000000,0.442933
8568,TRA2B,15,1241.000000,0.349271
8569,TRABD,3,866.000000,0.515660
8570,TRADD,3,894.000000,0.501374
8571,TRAF1,12,131.000000,0.512977
8572,TRAF2,3,742.000000,0.455624
8573,TRAF3,6,406.000000,0.476653
8574,TRAF3IP1,6,849.000000,0.393740
